Lesson,content,category,answer1,answer2,answer3,answer4,answer5,answer6
Basics I,The daughter loves.,translation-eng,Filia amat.,Amat filia.,,,,
Basics I,The daughters love.,translation-eng,Filiae amant.,Amant filiae.,,,,
Basics I,The farmer does labor.,translation-eng,Agricola laborat.,Laborat agricola.,,,,
Basics I,The farmers labor.,translation-eng,Agricolae laborant.,Laborant agricolae.,,,,
Basics I,The girl is announcing.,translation-eng,Puella nuntiat.,Nuntiat puella.,,,,
Basics I,The girls do announce.,translation-eng,Puellae nuntiant.,Nuntiant puellae.,,,,
Basics I,The ladies are carrying.,translation-eng,Dominae portant.,Portant dominae.,,,,
Basics I,The lady carries.,translation-eng,Domina portat.,Portat domina.,,,,
Basics I,The sailor is carrying.,translation-eng,Nauta portat.,Portat nauta.,,,,
Basics I,The sailors carry.,translation-eng,Nautae portant.,Portant nautae.,,,,
Basics I,Agricola portat.,translation-lat,The farmer carries.,A farmer carries.,The farmer is carrying.,A farmer is carrying.,,
Basics I,Agricolae portant.,translation-lat,The farmers carry.,Farmers carry.,The farmers are carrying.,,,
Basics I,Domina amat.,translation-lat,The lady loves.,A lady loves.,,,,
Basics I,Dominae amant.,translation-lat,The ladies love.,Ladies love.,,,,
Basics I,Fīlia labōrat.,translation-lat,The girl works.,A girl works.,A girl is working.,The girl is working.,,
Basics I,Fīliae labōrant.,translation-lat,The girls work.,Girls work.,The girls are working.,,,
Basics I,Nauta nūntiat.,translation-lat,The sailor announces.,A sailor announces.,The sailor is announcing.,A sailor is announcing.,,
Basics I,Nauta pugnat.,translation-lat,The sailor fights.,A sailor fights.,The sailor is fighting.,A sailor is fighting.,,
Basics I,Nautae nūntiant,translation-lat,The sailors announce.,Sailors announce.,The sailors are announcing.,,,
Basics I,Nautae pugnant.,translation-lat,The sailors fight.,Sailors fight.,The sailors are fighting.,,,
Basics I,Puella amat.,translation-lat,The girl loves.,A girl loves,,,,
Basics I,Puellae amant.,translation-lat,The girls love.,Girls love.,,,,
Basics I,agricola,vocab,farmer,,,,,
Basics I,amant,vocab,They love.,,,,,
Basics I,amat,vocab,It loves,He loves,She loves,,,
Basics I,aqua,vocab,water,,,,,
Basics I,causa,vocab,cause,,,,,
Basics I,domina,vocab,lady,,,,,
Basics I,filia,vocab,daughter,,,,,
Basics I,fortūna,vocab,fortune,,,,,
Basics I,fuga,vocab,flight,,,,,
Basics I,iniūria,vocab,wrong,injury,,,,
Basics I,labōrat,vocab,It works,He works,She works,It is working.,He is working.,She is working.
Basics I,lūna,vocab,moon,,,,,
Basics I,nauta,vocab,sailor,,,,,
Basics I,nūntiat,vocab,It announces,He announces,She announces,It is announcing.,She is announcing.,He is announcing.
Basics I,portant,vocab,They carry.,They are carrying.,,,,
Basics I,portat,vocab,It carries,He carries,She carries,It is carrying.,He is carrying.,She is carrying.
Basics I,puella,vocab,girl,,,,,
Basics I,pugnant,vocab,They fight.,They are fighting. ,,,,
Basics I,pugnat,vocab,It fights,He fights,She fights,It is fighting.,She is fighting.,He is fighting.
Basics I,silva,vocab,forest,,,,,
Basics I,terra,vocab,land,,,,,
Basics II,Diana’s arrows are killing the wild beasts of the land.,translation-eng,Sagittae Dianae feras terrae necant.,Dianae sagittae feras terrae necant.,,,,
Basics II,Latona’s daughter carries arrows.,translation-eng,Filia Latonae sagittas portat.,Latonae filia sagittas portat.,,,,
Basics II,The daughter of Latona does love the forests.,translation-eng,Filia Latonae silvas amat,Latonae filia silvas amat,,,,
Basics II,The farmer’s daughter labors.,translation-eng,Agricolae filia laborat.,Filia agricolae laborat.,,,,
Basics II,The farmer’s daughter loves the waters of the forest.,translation-eng,Filia agricolae aquas silvae amat.,Agricolae filia quas silvae amat.,,,,
Basics II,The farmers’ daughters do labor.,translation-eng,Filiae agricolarum laborant.,Agricolarum filiae laborant.,,,,
Basics II,The girls announce the sailors’ wrongs.,translation-eng,Puellae iniurias nautarum nuntiant.,,,,,
Basics II,The sailor is announcing the girls’ flight.,translation-eng,Nauta fugam puellarum nuntiat.,,,,,
Basics II,Diāna est dea lūnae.,translation-lat,Diana is the goddess of the moon.,Diana is a goddess of the moon.,,,,
Basics II,Diāna est dea silvārum.,translation-lat,Diana is goddess of the forests.,Diana is goddess of forests.,,,,
Basics II,Diāna est dea.,translation-lat,Diana is a goddess.,Diana is the goddess.,,,,
Basics II,Diāna est fīlia Lātōnae.,translation-lat,Diana is the daughter of Latona.,Diana is a daughter of Latona.,,,,
Basics II,Diāna et Lātōna sunt deae.,translation-lat,Diana and Latona are goddesses.,Diana and Latona are the goddesses.,,,,
Basics II,Diāna ferās silvae necat.,translation-lat,Diana kills beasts of the forest.,Diana kills the beasts of the forest.,,,,
Basics II,Diāna sagittās portat.,translation-lat,Diana carries arrows.,Diana carries the arrows.,,,,
Basics II,Diāna silvam amat.,translation-lat,Diana loves the forest.,,,,,
Basics II,Ferae terrārum pugnant.,translation-lat,The beasts of the lands fight.,Beasts of the lands fight.,,,,
Basics II,Lātōna Diānam amat.,translation-lat,Latona loves Diana.,,,,,
Basics II,Lātōna est dea.,translation-lat,Latona is a goddess.,Latona is the goddess.,,,,
Basics II, cuius ,vocab,whose,,,,,
Basics II, dea ,vocab, goddess,a goddess,the goddess,,,
Basics II, est ,vocab,he is,she is,it is,,,
Basics II, et ,vocab,and,,,,,
Basics II, fera ,vocab, a wild beast,the wild beast,,,,
Basics II, necat ,vocab,he kills,she kills,it kills,,,
Basics II, quis ,vocab,who?,,,,,
Basics II, sagitta ,vocab, arrow,an arrow,the arrow,,,
Basics II, sunt ,vocab, they are,,,,,
Dative I,Galba announces the cause of the battle to the sailor.,translation-eng,Galba nautae causam pugnae  nuntiat.,,,,,
Dative I,The farmer gives his daughter water.,translation-eng,Agricola nautae aquam dat.,,,,,
Dative I,"The girls give a wreath to Julia, because Julia loves wreaths.",translation-eng,Puellae Juliae coronam dant quod Julia coronas amat.,Puellae Juliae coronam dant quia Julia coronas amat.,,,,
